Designator,Mid X,Mid Y,Rotation,Layer
BARREL IN,28.875,-31.15,90.0,top
C1,63.75,-45.0,0.0,top
C2,75.9335,-37.1,0.0,top
C3,72.66675,-23.0,0.0,top
C4,63.75,-55.0,0.0,top
D1,54.6985,-30.0,0.0,top
D2,44.3015,-23.0,180.0,top
D3,54.6985,-37.0,0.0,top
J3,89.0,-28.73,270.0,top
J4,89.0,-40.27,270.0,top
J6,89.0,-51.73,270.0,top
L1,76.0,-49.0,0.0,top
L2 47 UH,75.0,-60.0,0.0,top
U1 3.3V LM2596S-3.3,33.775,-50.925,270.0,top
U2 5V LM2596S-5,49.775,-54.925,270.0,top
