BARREL IN:1
C1:1
C2:1
C3:1
C4:1
D1:1
D2:1
D3:1
H1:1
H2:1
H3:1
H4:1
J3:1
J4:1
J6:1
L1:1
L2 47 UH:1
U1 3.3V LM2596S-3.3:1
U2 5V LM2596S-5:1
